cage,dmel.cage,colony.source,date.started,time.started,date.ended,time.ended,species,food.type,egg.count
1,NAN,mk,4/5/18,17:30,4/6/18,17:30,S. flava,fresh.plant,0
2,NAN,mk,4/5/18,17:30,4/6/18,17:30,S. flava,fresh.plant,3
3,NAN,mk,4/5/18,17:30,4/6/18,17:30,S. flava,fresh.plant,3
4,NAN,tm,4/19/18,15:45,4/20/18,15:50,S. flava,fresh.plant,1
5,NAN,tm,4/19/18,15:45,4/20/18,15:50,S. flava,fresh.plant,0
6,NAN,tm,4/19/18,15:45,4/20/18,15:50,S. flava,fresh.plant,1
7,NAN,mk,4/20/18,10:15,4/21/18,10:30,S. flava,fresh.plant,0
8,NAN,mk,4/20/18,10:15,4/21/18,10:30,S. flava,fresh.plant,0
9,NAN,mk,4/20/18,10:15,4/21/18,10:30,S. flava,fresh.plant,2
10,NAN,tm,5/22/18,12:00,5/23/18,12:00,S. flava,fresh.plant,0
11,NAN,tm,5/22/18,12:00,5/23/18,12:00,S. flava,fresh.plant,1
12,NAN,rd,8/6/18,11:00,8/7/18,11:30,S. flava,fresh.plant,8
13,NAN,rd,8/6/18,11:00,8/7/18,11:30,S. flava,fresh.plant,7
14,NAN,rd,8/6/18,11:00,8/7/18,11:30,S. flava,fresh.plant,7
15,NAN,rd,8/6/18,11:00,8/7/18,11:30,S. flava,fresh.plant,1
16,NAN,rd,8/6/18,11:00,8/7/18,11:30,S. flava,fresh.plant,0
17,NAN,rd,8/6/18,11:00,8/7/18,11:30,S. flava,fresh.plant,0
1,NAN,mk,4/5/18,17:30,4/6/18,17:30,S. flava,rotten.plant,0
2,NAN,mk,4/5/18,17:30,4/6/18,17:30,S. flava,rotten.plant,0
3,NAN,mk,4/5/18,17:30,4/6/18,17:30,S. flava,rotten.plant,0
4,NAN,tm,4/19/18,15:45,4/20/18,15:50,S. flava,rotten.plant,0
5,NAN,tm,4/19/18,15:45,4/20/18,15:50,S. flava,rotten.plant,0
6,NAN,tm,4/19/18,15:45,4/20/18,15:50,S. flava,rotten.plant,0
7,NAN,mk,4/20/18,10:15,4/21/18,10:30,S. flava,rotten.plant,0
8,NAN,mk,4/20/18,10:15,4/21/18,10:30,S. flava,rotten.plant,0
9,NAN,mk,4/20/18,10:15,4/21/18,10:30,S. flava,rotten.plant,0
10,NAN,tm,5/22/18,12:00,5/23/18,12:00,S. flava,rotten.plant,0
11,NAN,tm,5/22/18,12:00,5/23/18,12:00,S. flava,rotten.plant,0
12,NAN,rd,8/6/18,11:00,8/7/18,11:30,S. flava,rotten.plant,0
13,NAN,rd,8/6/18,11:00,8/7/18,11:30,S. flava,rotten.plant,0
14,NAN,rd,8/6/18,11:00,8/7/18,11:30,S. flava,rotten.plant,0
15,NAN,rd,8/6/18,11:00,8/7/18,11:30,S. flava,rotten.plant,0
16,NAN,rd,8/6/18,11:00,8/7/18,11:30,S. flava,rotten.plant,0
17,NAN,rd,8/6/18,11:00,8/7/18,11:30,S. flava,rotten.plant,0
1,NAN,mk,4/5/18,17:30,4/6/18,17:30,S. flava,yeast,0
2,NAN,mk,4/5/18,17:30,4/6/18,17:30,S. flava,yeast,0
3,NAN,mk,4/5/18,17:30,4/6/18,17:30,S. flava,yeast,0
4,NAN,tm,4/19/18,15:45,4/20/18,15:50,S. flava,yeast,0
5,NAN,tm,4/19/18,15:45,4/20/18,15:50,S. flava,yeast,0
6,NAN,tm,4/19/18,15:45,4/20/18,15:50,S. flava,yeast,0
7,NAN,mk,4/20/18,10:15,4/21/18,10:30,S. flava,yeast,0
8,NAN,mk,4/20/18,10:15,4/21/18,10:30,S. flava,yeast,0
9,NAN,mk,4/20/18,10:15,4/21/18,10:30,S. flava,yeast,0
10,NAN,tm,5/22/18,12:00,5/23/18,12:00,S. flava,yeast,0
11,NAN,tm,5/22/18,12:00,5/23/18,12:00,S. flava,yeast,0
12,NAN,rd,8/6/18,11:00,8/7/18,11:30,S. flava,yeast,0
13,NAN,rd,8/6/18,11:00,8/7/18,11:30,S. flava,yeast,0
14,NAN,rd,8/6/18,11:00,8/7/18,11:30,S. flava,yeast,0
15,NAN,rd,8/6/18,11:00,8/7/18,11:30,S. flava,yeast,0
16,NAN,rd,8/6/18,11:00,8/7/18,11:30,S. flava,yeast,0
17,NAN,rd,8/6/18,11:00,8/7/18,11:30,S. flava,yeast,0
18,1,ja,10/27/21,11:00,10/28/21,11:00,D. melanogaster,fresh.plant,0
19,2,ja,10/27/21,11:00,10/28/21,11:00,D. melanogaster,fresh.plant,0
20,3,ja,10/27/21,11:00,10/28/21,11:00,D. melanogaster,fresh.plant,0
21,4,ja,10/27/21,11:00,10/28/21,11:00,D. melanogaster,fresh.plant,0
22,5,ja,10/27/21,11:00,10/28/21,11:00,D. melanogaster,fresh.plant,0
23,6,ja,10/27/21,11:00,10/28/21,11:00,D. melanogaster,fresh.plant,0
24,7,ja,10/27/21,11:00,10/28/21,11:00,D. melanogaster,fresh.plant,0
25,8,ja,10/27/21,11:00,10/28/21,11:00,D. melanogaster,fresh.plant,0
26,9,ja,10/27/21,11:00,10/28/21,11:00,D. melanogaster,fresh.plant,0
27,1,ja,2/7/22,11:00,2/8/22,11:00,D. melanogaster,fresh.plant,0
28,2,ja,2/7/22,11:00,2/8/22,11:00,D. melanogaster,fresh.plant,0
29,3,ja,2/7/22,11:00,2/8/22,11:00,D. melanogaster,fresh.plant,0
30,4,ja,2/7/22,11:00,2/8/22,11:00,D. melanogaster,fresh.plant,0
31,5,ja,2/7/22,11:00,2/8/22,11:00,D. melanogaster,fresh.plant,0
32,6,ja,2/7/22,11:00,2/8/22,11:00,D. melanogaster,fresh.plant,0
33,1,ja,3/4/22,11:00,3/5/22,11:00,D. melanogaster,fresh.plant,0
34,2,ja,3/4/22,11:00,3/5/22,11:00,D. melanogaster,fresh.plant,0
35,3,ja,3/4/22,11:00,3/5/22,11:00,D. melanogaster,fresh.plant,0
36,4,ja,3/4/22,11:00,3/5/22,11:00,D. melanogaster,fresh.plant,0
37,5,ja,3/4/22,11:00,3/5/22,11:00,D. melanogaster,fresh.plant,0
38,6,ja,3/4/22,11:00,3/5/22,11:00,D. melanogaster,fresh.plant,0
39,7,ja,3/4/22,11:00,3/5/22,11:00,D. melanogaster,fresh.plant,0
40,8,ja,3/4/22,11:00,3/5/22,11:00,D. melanogaster,fresh.plant,0
41,9,ja,3/4/22,11:00,3/5/22,11:00,D. melanogaster,fresh.plant,0
42,10,ja,3/4/22,11:00,3/5/22,11:00,D. melanogaster,fresh.plant,0
43,11,ja,3/4/22,11:00,3/5/22,11:00,D. melanogaster,fresh.plant,0
44,12,ja,3/4/22,11:00,3/5/22,11:00,D. melanogaster,fresh.plant,0
45,13,ja,3/4/22,11:00,3/5/22,11:00,D. melanogaster,fresh.plant,0
46,14,ja,3/4/22,11:00,3/5/22,11:00,D. melanogaster,fresh.plant,0
47,15,ja,3/4/22,11:00,3/5/22,11:00,D. melanogaster,fresh.plant,0
18,1,ja,10/27/21,11:00,10/28/21,11:00,D. melanogaster,rotten.plant,0
19,2,ja,10/27/21,11:00,10/28/21,11:00,D. melanogaster,rotten.plant,0
20,3,ja,10/27/21,11:00,10/28/21,11:00,D. melanogaster,rotten.plant,0
21,4,ja,10/27/21,11:00,10/28/21,11:00,D. melanogaster,rotten.plant,0
22,5,ja,10/27/21,11:00,10/28/21,11:00,D. melanogaster,rotten.plant,0
23,6,ja,10/27/21,11:00,10/28/21,11:00,D. melanogaster,rotten.plant,0
24,7,ja,10/27/21,11:00,10/28/21,11:00,D. melanogaster,rotten.plant,0
25,8,ja,10/27/21,11:00,10/28/21,11:00,D. melanogaster,rotten.plant,0
26,9,ja,10/27/21,11:00,10/28/21,11:00,D. melanogaster,rotten.plant,0
27,1,ja,2/7/22,11:00,2/8/22,11:00,D. melanogaster,rotten.plant,0
28,2,ja,2/7/22,11:00,2/8/22,11:00,D. melanogaster,rotten.plant,0
29,3,ja,2/7/22,11:00,2/8/22,11:00,D. melanogaster,rotten.plant,0
30,4,ja,2/7/22,11:00,2/8/22,11:00,D. melanogaster,rotten.plant,0
31,5,ja,2/7/22,11:00,2/8/22,11:00,D. melanogaster,rotten.plant,0
32,6,ja,2/7/22,11:00,2/8/22,11:00,D. melanogaster,rotten.plant,0
33,1,ja,3/4/22,11:00,3/5/22,11:00,D. melanogaster,rotten.plant,0
34,2,ja,3/4/22,11:00,3/5/22,11:00,D. melanogaster,rotten.plant,0
35,3,ja,3/4/22,11:00,3/5/22,11:00,D. melanogaster,rotten.plant,0
36,4,ja,3/4/22,11:00,3/5/22,11:00,D. melanogaster,rotten.plant,0
37,5,ja,3/4/22,11:00,3/5/22,11:00,D. melanogaster,rotten.plant,0
38,6,ja,3/4/22,11:00,3/5/22,11:00,D. melanogaster,rotten.plant,0
39,7,ja,3/4/22,11:00,3/5/22,11:00,D. melanogaster,rotten.plant,0
40,8,ja,3/4/22,11:00,3/5/22,11:00,D. melanogaster,rotten.plant,0
41,9,ja,3/4/22,11:00,3/5/22,11:00,D. melanogaster,rotten.plant,0
42,10,ja,3/4/22,11:00,3/5/22,11:00,D. melanogaster,rotten.plant,0
43,11,ja,3/4/22,11:00,3/5/22,11:00,D. melanogaster,rotten.plant,0
44,12,ja,3/4/22,11:00,3/5/22,11:00,D. melanogaster,rotten.plant,0
45,13,ja,3/4/22,11:00,3/5/22,11:00,D. melanogaster,rotten.plant,0
46,14,ja,3/4/22,11:00,3/5/22,11:00,D. melanogaster,rotten.plant,0
47,15,ja,3/4/22,11:00,3/5/22,11:00,D. melanogaster,rotten.plant,0
18,1,ja,10/27/21,11:00,10/28/21,11:00,D. melanogaster,yeast,15
19,2,ja,10/27/21,11:00,10/28/21,11:00,D. melanogaster,yeast,17
20,3,ja,10/27/21,11:00,10/28/21,11:00,D. melanogaster,yeast,25
21,4,ja,10/27/21,11:00,10/28/21,11:00,D. melanogaster,yeast,23
22,5,ja,10/27/21,11:00,10/28/21,11:00,D. melanogaster,yeast,41
23,6,ja,10/27/21,11:00,10/28/21,11:00,D. melanogaster,yeast,0
24,7,ja,10/27/21,11:00,10/28/21,11:00,D. melanogaster,yeast,0
25,8,ja,10/27/21,11:00,10/28/21,11:00,D. melanogaster,yeast,0
26,9,ja,10/27/21,11:00,10/28/21,11:00,D. melanogaster,yeast,0
27,1,ja,2/7/22,11:00,2/8/22,11:00,D. melanogaster,yeast,1
28,2,ja,2/7/22,11:00,2/8/22,11:00,D. melanogaster,yeast,0
29,3,ja,2/7/22,11:00,2/8/22,11:00,D. melanogaster,yeast,0
30,4,ja,2/7/22,11:00,2/8/22,11:00,D. melanogaster,yeast,1
31,5,ja,2/7/22,11:00,2/8/22,11:00,D. melanogaster,yeast,1
32,6,ja,2/7/22,11:00,2/8/22,11:00,D. melanogaster,yeast,0
33,1,ja,3/4/22,11:00,3/5/22,11:00,D. melanogaster,yeast,1
34,2,ja,3/4/22,11:00,3/5/22,11:00,D. melanogaster,yeast,0
35,3,ja,3/4/22,11:00,3/5/22,11:00,D. melanogaster,yeast,0
36,4,ja,3/4/22,11:00,3/5/22,11:00,D. melanogaster,yeast,4
37,5,ja,3/4/22,11:00,3/5/22,11:00,D. melanogaster,yeast,0
38,6,ja,3/4/22,11:00,3/5/22,11:00,D. melanogaster,yeast,0
39,7,ja,3/4/22,11:00,3/5/22,11:00,D. melanogaster,yeast,0
40,8,ja,3/4/22,11:00,3/5/22,11:00,D. melanogaster,yeast,0
41,9,ja,3/4/22,11:00,3/5/22,11:00,D. melanogaster,yeast,0
42,10,ja,3/4/22,11:00,3/5/22,11:00,D. melanogaster,yeast,1
43,11,ja,3/4/22,11:00,3/5/22,11:00,D. melanogaster,yeast,0
44,12,ja,3/4/22,11:00,3/5/22,11:00,D. melanogaster,yeast,0
45,13,ja,3/4/22,11:00,3/5/22,11:00,D. melanogaster,yeast,0
46,14,ja,3/4/22,11:00,3/5/22,11:00,D. melanogaster,yeast,0
47,15,ja,3/4/22,11:00,3/5/22,11:00,D. melanogaster,yeast,0