container.ID,food.type,Numb.flies_12.20.18,Numb.flies_12.27.18,Numb.flies_01.03.2019,total.numb.flies
1,fresh,1,4,0,5
2,rotten,0,0,0,0
3,rotten,0,0,0,0
4,yeast media,0,0,0,0
5,rotten,0,0,0,0
6,yeast media,0,0,0,0
7,fresh,4,0,0,4
8,yeast media,0,0,0,0
9,fresh,3,3,0,6
10,fresh,1,1,0,2
11,rotten,0,0,0,0
12,fresh,3,0,0,3
13,fresh,2,2,0,4
14,yeast media,0,0,0,0
15,fresh,1,3,0,4
16,yeast media,0,0,0,0
17,rotten,0,0,0,0
18,yeast media,0,0,0,0
19,yeast media,0,0,0,0
20,yeast media,0,0,0,0
21,rotten,0,0,0,0
22,fresh,2,5,0,6
23,rotten,0,0,0,0
24,rotten,0,0,0,0
25,rotten,0,0,0,0
26,yeast media,0,0,0,0
27,fresh,2,3,0,5