pic_id,species,bottom_top,top_tip,tip_bottom,longest_base_tooth ,long_tooth_base,area,tooth_size ,toplength_bottomlength_ratio,bottomlength_baseheight_ratio,notes
1,dmel,0.084,0.111,0.078,0.029,0.026,NAN,0.003,1.423076923,1.076923077,
2,dmel,0.086,0.114,0.099,0.026,0.02,NAN,0.006,1.151515152,0.868686869,
3,dmel,NAN,NAN,NAN,0.022,0.019,NAN,0.003,NAN,NAN,base broken off
4,dmel,0.069,0.105,0.081,0.023,0.021,0.003,0.002,1.296296296,0.851851852,
5,dmel,0.071,0.123,0.086,0.025,0.018,0.003,0.007,1.430232558,0.825581395,
6,dmel,0.075,0.0112,0.08,0.029,0.022,0.003,0.007,0.14,0.9375,
7,dmel,0.073,0.112,0.078,0.025,0.022,0.003,0.003,1.435897436,0.935897436,
8,dmel,0.065,0.105,0.08,0.025,0.019,0.003,0.006,1.3125,0.8125,
9,dmel,NAN,NAN,NAN,0.028,0.023,NAN,0.005,NAN,NAN,"overlapping, so cant measure base "
10,spal,0.067,0.099,0.065,0.03,0.019,0.002,0.011,1.523076923,1.030769231,
11,spal,0.067,0.1,0.069,0.026,0.017,0.002,0.009,1.449275362,0.971014493,
12,spal,0.064,0.09,0.065,0.032,0.017,0.002,0.015,1.384615385,0.984615385,
13,spal,0.059,0.091,0.062,0.029,0.019,0.002,0.01,1.467741935,0.951612903,
14,spal,0.062,0.098,0.064,0.028,0.016,0.002,0.012,1.53125,0.96875,
15,spal,0.064,0.096,0.062,0.032,0.021,0.002,0.011,1.548387097,1.032258065,
16,spal,NAN,NAN,NAN,0.03,0.017,NAN,0.013,NAN,NAN,top broken off 
17,spal,0.055,0.101,0.069,0.03,0.018,0.002,0.012,1.463768116,0.797101449,
18,spal,0.064,0.094,0.061,0.03,0.019,0.002,0.011,1.540983607,1.049180328,
19,sfla,0.091,0.107,0.064,0.05,0.025,0.004,0.025,1.671875,1.421875,
20,sfla,0.088,0.107,0.07,0.052,0.025,0.003,0.027,1.528571429,1.257142857,
21,sfla,0.082,0.103,0.078,0.049,0.021,0.003,0.028,1.320512821,1.051282051,
22,sfla,0.088,0.098,0.078,0.053,0.022,0.003,0.031,1.256410256,1.128205128,
23,sfla,0.084,0.103,0.075,0.054,0.023,0.004,0.031,1.373333333,1.12,
24,sfla,0.09,0.105,0.071,0.052,0.021,0.003,0.031,1.478873239,1.267605634,
25,sfla,0.084,0.102,0.072,0.055,0.026,0.003,0.029,1.416666667,1.166666667,
26,sfla,0.088,0.103,0.06,0.052,0.026,0.004,0.026,1.716666667,1.466666667,
27,sfla,NAN,NAN,NAN,0.053,0.024,NAN,0.029,NAN,NAN,top overlapping with other peices 
28,sfla,0.095,0.11,0.07,0.05,0.019,0.003,0.031,1.571428571,1.357142857,
29,shsu,0.085,0.132,0.077,0.037,0.025,0.004,0.012,1.714285714,1.103896104,
30,shsu,0.076,0.122,0.072,0.032,0.018,0.003,0.014,1.694444444,1.055555556,
31,shsu,0.081,0.119,0.07,0.034,0.024,0.004,0.01,1.7,1.157142857,
32,shsu,0.082,0.123,0.07,0.037,0.022,0.004,0.015,1.757142857,1.171428571,
33,shsu,0.084,0.124,0.066,0.037,0.019,0.004,0.018,1.878787879,1.272727273,
34,shsu,0.075,0.114,0.069,0.032,0.019,0.003,0.013,1.652173913,1.086956522,
35,shsu,0.082,0.12,0.075,0.041,0.025,0.004,0.016,1.6,1.093333333,
36,shsu,0.081,0.123,0.077,0.036,0.022,0.004,0.014,1.597402597,1.051948052,
37,shsu,NAN,NAN,NAN,0.033,0.026,NAN,0.007,NAN,NAN,broken at base