id,species,tooth.number_no.base.teeth,tooth.number_with.base.teeth,notes
1,dmel,10,10,
2,dmel,8,8,
3,dmel,10,10,4 small teeth in front not in focus in picture
4,dmel,7,7,picture blurry
5,dmel,10,10,picture blurry
6,dmel,9,9,
7,dmel,11,11,
8,dmel,11,11,
9,dmel,10,10,
10,spal,5,6,
11,spal,5,6,
12,spal,3,4,
13,spal,5,6,
14,spal,4,5,
15,spal,5,6,
16,spal,6,7,blurry picture
17,spal,5,6,
18,spal,4,5,
19,sfla,2,4,
20,sfla,1,3,
21,sfla,1,3,
22,sfla,1,3,
23,sfla,1,3,
24,sfla,1,3,
25,sfla,1,3,
26,sfla,1,3,
27,sfla,1,3,horrible picture
28,sfla,1,3,
29,shsu,3,4,
30,shsu,2,3,
31,shsu,4,5,
32,shsu,4,5,
33,shsu,4,5,
34,shsu,2,3,
35,shsu,4,5,
36,shsu,4,5,picture not great 
37,shsu,3,4,"counted @ highest mag because mounting quality is poor, took picture to see if overall measurements are still possible "